schema,table,column,type
raw,orders_bronze_01,event_ts,"decimal(10,2)"
raw,orders_bronze_01,col_4,"decimal(10,2)"
raw,orders_bronze_01,col_5,bigint
raw,orders_bronze_01,col_6,int
raw,orders_bronze_01,col_7,date
raw,orders_bronze_01,col_8,boolean
raw,orders_bronze_01,col_9,"decimal(10,2)"
raw,orders_bronze_01,col_10,date
raw,orders_bronze_01,col_11,bigint
raw,orders_bronze_01,col_12,date
raw,orders_bronze_01,col_13,double
raw,orders_bronze_01,col_14,int
raw,orders_bronze_01,col_15,bigint
raw,orders_bronze_01,col_16,double
raw,orders_bronze_01,col_17,date
raw,orders_bronze_02,order_id,int
raw,orders_bronze_02,status,"decimal(10,2)"
raw,orders_bronze_02,dt,timestamp
raw,orders_bronze_02,col_4,date
raw,orders_bronze_02,col_5,int
raw,orders_bronze_02,col_6,double
raw,orders_bronze_02,col_7,date
raw,orders_bronze_02,col_8,date
raw,orders_bronze_02,col_9,date
raw,orders_bronze_02,col_10,date
raw,orders_bronze_03,dt,boolean
raw,orders_bronze_03,amount,int
raw,orders_bronze_03,status,int
raw,orders_bronze_03,col_4,double
raw,orders_bronze_03,col_5,int
raw,orders_bronze_03,col_6,boolean
raw,orders_bronze_03,col_7,timestamp
raw,orders_bronze_03,col_8,string
raw,orders_bronze_03,col_9,date
raw,orders_bronze_04,country,bigint
raw,orders_bronze_04,amount,timestamp
raw,orders_bronze_04,country,timestamp
raw,orders_bronze_04,col_4,boolean
raw,orders_bronze_04,col_5,timestamp
raw,orders_bronze_04,col_6,int
raw,orders_bronze_04,col_7,boolean
raw,orders_bronze_04,col_8,"decimal(10,2)"
raw,orders_bronze_04,col_9,boolean
raw,orders_bronze_04,col_10,string
raw,orders_bronze_04,col_11,date
raw,orders_bronze_04,col_12,boolean
raw,orders_bronze_04,col_13,boolean
raw,orders_bronze_04,col_14,timestamp
raw,orders_bronze_05,sku,int
raw,orders_bronze_05,amount,string
raw,orders_bronze_05,amount,timestamp
raw,orders_bronze_05,col_4,bigint
raw,orders_bronze_05,col_5,int
raw,orders_bronze_05,col_6,"decimal(10,2)"
raw,orders_bronze_05,col_7,int
raw,orders_bronze_05,col_8,int
raw,orders_bronze_05,col_9,int
raw,orders_bronze_05,col_10,int
raw,orders_bronze_05,col_11,boolean
raw,orders_bronze_05,col_12,"decimal(10,2)"
raw,orders_bronze_05,col_13,"decimal(10,2)"
raw,orders_bronze_05,col_14,boolean
raw,orders_bronze_05,col_15,boolean
raw,orders_bronze_05,col_16,timestamp
raw,orders_bronze_05,col_17,double
raw,orders_bronze_06,dt,bigint
raw,orders_bronze_06,event_ts,timestamp
raw,orders_bronze_06,order_id,double
raw,orders_bronze_06,col_4,timestamp
raw,orders_bronze_06,col_5,boolean
raw,orders_bronze_06,col_6,int
raw,orders_bronze_06,col_7,date
raw,orders_bronze_06,col_8,double
raw,orders_bronze_06,col_9,timestamp
raw,orders_bronze_06,col_10,double
raw,orders_bronze_06,col_11,date
raw,orders_bronze_06,col_12,string
raw,orders_bronze_06,col_13,date
raw,orders_bronze_06,col_14,date
raw,orders_bronze_06,col_15,bigint
raw,orders_bronze_07,event_ts,double
raw,orders_bronze_07,sku,int
raw,orders_bronze_07,sku,boolean
raw,orders_bronze_07,col_4,bigint
raw,orders_bronze_07,col_5,int
raw,orders_bronze_07,col_6,bigint
raw,orders_bronze_07,col_7,double
raw,orders_bronze_07,col_8,"decimal(10,2)"
raw,orders_bronze_07,col_9,boolean
raw,orders_bronze_07,col_10,int
raw,orders_bronze_07,col_11,timestamp
raw,orders_bronze_07,col_12,timestamp
raw,orders_bronze_07,col_13,"decimal(10,2)"
raw,orders_bronze_07,col_14,string
raw,orders_bronze_08,event_ts,bigint
raw,orders_bronze_08,dt,int
raw,orders_bronze_08,dt,boolean
raw,orders_bronze_08,col_4,string
raw,orders_bronze_08,col_5,int
raw,orders_bronze_08,col_6,double
raw,orders_bronze_08,col_7,bigint
raw,orders_bronze_08,col_8,string
raw,orders_bronze_09,dt,timestamp
raw,orders_bronze_09,amount,boolean
raw,orders_bronze_09,order_id,"decimal(10,2)"
raw,orders_bronze_09,col_4,timestamp
raw,orders_bronze_09,col_5,string
raw,orders_bronze_09,col_6,double
raw,orders_bronze_09,col_7,string
raw,orders_bronze_09,col_8,double
raw,orders_bronze_09,col_9,boolean
raw,orders_bronze_09,col_10,int
raw,orders_bronze_09,col_11,"decimal(10,2)"
raw,orders_bronze_10,country,string
raw,orders_bronze_10,amount,bigint
raw,orders_bronze_10,event_ts,date
raw,orders_bronze_10,col_4,double
raw,orders_bronze_10,col_5,timestamp
raw,orders_bronze_10,col_6,date
raw,orders_bronze_10,col_7,string
raw,orders_bronze_10,col_8,bigint
raw,orders_bronze_10,col_9,boolean
raw,orders_bronze_10,col_10,double
raw,orders_bronze_10,col_11,date
raw,orders_bronze_10,col_12,bigint
raw,orders_bronze_10,col_13,bigint
raw,orders_bronze_10,col_14,string
raw,orders_bronze_10,col_15,int
raw,orders_bronze_11,country,bigint
raw,orders_bronze_11,sku,"decimal(10,2)"
raw,orders_bronze_11,country,int
raw,orders_bronze_11,col_4,date
raw,orders_bronze_11,col_5,string
raw,orders_bronze_11,col_6,int
raw,orders_bronze_11,col_7,date
raw,orders_bronze_11,col_8,"decimal(10,2)"
raw,orders_bronze_11,col_9,date
raw,orders_bronze_11,col_10,"decimal(10,2)"
raw,orders_bronze_11,col_11,timestamp
raw,orders_bronze_11,col_12,double
raw,orders_bronze_11,col_13,boolean
raw,orders_bronze_11,col_14,date
raw,orders_bronze_11,col_15,string
raw,orders_bronze_12,amount,"decimal(10,2)"
raw,orders_bronze_12,dt,date
raw,orders_bronze_12,customer_id,string
raw,orders_bronze_12,col_4,boolean
raw,orders_bronze_12,col_5,string
raw,orders_bronze_12,col_6,double
raw,orders_bronze_12,col_7,date
raw,orders_bronze_12,col_8,string
raw,orders_bronze_12,col_9,int
raw,orders_bronze_12,col_10,bigint
raw,orders_bronze_12,col_11,"decimal(10,2)"
raw,orders_bronze_12,col_12,int
raw,orders_bronze_12,col_13,double
raw,orders_bronze_12,col_14,"decimal(10,2)"
raw,orders_bronze_12,col_15,date
raw,orders_bronze_13,dt,"decimal(10,2)"
raw,orders_bronze_13,dt,"decimal(10,2)"
raw,orders_bronze_13,customer_id,string
raw,orders_bronze_13,col_4,int
raw,orders_bronze_13,col_5,boolean
raw,orders_bronze_13,col_6,double
raw,orders_bronze_13,col_7,double
raw,orders_bronze_13,col_8,date
raw,orders_bronze_13,col_9,date
raw,orders_bronze_13,col_10,int
raw,orders_bronze_13,col_11,date
raw,orders_bronze_13,col_12,boolean
raw,orders_bronze_13,col_13,"decimal(10,2)"
raw,orders_bronze_14,country,int
raw,orders_bronze_14,customer_id,timestamp
raw,orders_bronze_14,status,int
raw,orders_bronze_14,col_4,boolean
raw,orders_bronze_14,col_5,double
raw,orders_bronze_14,col_6,date
raw,orders_bronze_14,col_7,string
raw,orders_bronze_14,col_8,double
raw,orders_bronze_14,col_9,"decimal(10,2)"
raw,orders_bronze_14,col_10,boolean
raw,transactions_bronze_01,dt,date
raw,transactions_bronze_01,sku,double
raw,transactions_bronze_01,dt,string
raw,transactions_bronze_01,col_4,boolean
raw,transactions_bronze_01,col_5,string
raw,transactions_bronze_01,col_6,timestamp
raw,transactions_bronze_01,col_7,bigint
raw,transactions_bronze_01,col_8,"decimal(10,2)"
raw,transactions_bronze_01,col_9,double
raw,transactions_bronze_01,col_10,bigint
raw,transactions_bronze_02,sku,timestamp
raw,transactions_bronze_02,country,string
raw,transactions_bronze_02,order_id,double
raw,transactions_bronze_02,col_4,int
raw,transactions_bronze_02,col_5,int
raw,transactions_bronze_02,col_6,"decimal(10,2)"
raw,transactions_bronze_02,col_7,string
raw,transactions_bronze_02,col_8,int
raw,transactions_bronze_02,col_9,double
raw,transactions_bronze_02,col_10,timestamp
raw,transactions_bronze_02,col_11,boolean
raw,transactions_bronze_02,col_12,"decimal(10,2)"
raw,transactions_bronze_03,order_id,timestamp
raw,transactions_bronze_03,order_id,timestamp
raw,transactions_bronze_03,sku,string
raw,transactions_bronze_03,col_4,double
raw,transactions_bronze_03,col_5,date
raw,transactions_bronze_03,col_6,int
raw,transactions_bronze_03,col_7,double
raw,transactions_bronze_03,col_8,date
raw,transactions_bronze_03,col_9,int
raw,transactions_bronze_03,col_10,timestamp
raw,transactions_bronze_03,col_11,date
raw,transactions_bronze_03,col_12,bigint
raw,transactions_bronze_03,col_13,"decimal(10,2)"
raw,transactions_bronze_03,col_14,double
raw,transactions_bronze_03,col_15,"decimal(10,2)"
raw,transactions_bronze_03,col_16,"decimal(10,2)"
raw,transactions_bronze_03,col_17,"decimal(10,2)"
raw,transactions_bronze_04,dt,double
raw,transactions_bronze_04,amount,boolean
raw,transactions_bronze_04,status,timestamp
raw,transactions_bronze_04,col_4,double
raw,transactions_bronze_04,col_5,date
raw,transactions_bronze_04,col_6,int
raw,transactions_bronze_04,col_7,int
raw,transactions_bronze_04,col_8,timestamp
raw,transactions_bronze_04,col_9,boolean
raw,transactions_bronze_04,col_10,string
raw,transactions_bronze_05,sku,boolean
raw,transactions_bronze_05,event_ts,date
raw,transactions_bronze_05,order_id,timestamp
raw,transactions_bronze_05,col_4,timestamp
raw,transactions_bronze_05,col_5,"decimal(10,2)"
raw,transactions_bronze_05,col_6,double
raw,transactions_bronze_05,col_7,boolean
raw,transactions_bronze_05,col_8,string
raw,transactions_bronze_05,col_9,double
raw,transactions_bronze_05,col_10,int
raw,transactions_bronze_05,col_11,timestamp
raw,transactions_bronze_05,col_12,int
raw,transactions_bronze_06,amount,double
raw,transactions_bronze_06,status,string
raw,transactions_bronze_06,sku,timestamp
raw,transactions_bronze_06,col_4,timestamp
raw,transactions_bronze_06,col_5,boolean
raw,transactions_bronze_06,col_6,string
raw,transactions_bronze_06,col_7,string
raw,transactions_bronze_06,col_8,timestamp
raw,transactions_bronze_06,col_9,bigint
raw,transactions_bronze_06,col_10,date
raw,transactions_bronze_06,col_11,double
raw,transactions_bronze_06,col_12,timestamp
raw,transactions_bronze_06,col_13,double
raw,transactions_bronze_06,col_14,double
raw,transactions_bronze_06,col_15,boolean
raw,transactions_bronze_06,col_16,double
raw,transactions_bronze_07,status,bigint
raw,transactions_bronze_07,event_ts,string
raw,transactions_bronze_07,dt,"decimal(10,2)"
raw,transactions_bronze_07,col_4,"decimal(10,2)"
raw,transactions_bronze_07,col_5,timestamp
raw,transactions_bronze_07,col_6,int
raw,transactions_bronze_07,col_7,bigint
raw,transactions_bronze_07,col_8,bigint
raw,transactions_bronze_07,col_9,date
raw,transactions_bronze_07,col_10,bigint
raw,transactions_bronze_07,col_11,bigint
raw,transactions_bronze_08,order_id,int
raw,transactions_bronze_08,order_id,int
raw,transactions_bronze_08,status,string
raw,transactions_bronze_08,col_4,date
raw,transactions_bronze_08,col_5,bigint
raw,transactions_bronze_08,col_6,timestamp
raw,transactions_bronze_08,col_7,double
raw,transactions_bronze_08,col_8,int
raw,transactions_bronze_08,col_9,double
raw,transactions_bronze_08,col_10,bigint
raw,transactions_bronze_08,col_11,"decimal(10,2)"
raw,transactions_bronze_09,customer_id,string
raw,transactions_bronze_09,order_id,boolean
raw,transactions_bronze_09,status,bigint
raw,transactions_bronze_09,col_4,int
raw,transactions_bronze_09,col_5,"decimal(10,2)"
raw,transactions_bronze_09,col_6,timestamp
raw,transactions_bronze_09,col_7,int
raw,transactions_bronze_09,col_8,double
raw,transactions_bronze_09,col_9,int
raw,transactions_bronze_09,col_10,date
raw,transactions_bronze_09,col_11,string
raw,transactions_bronze_09,col_12,date
raw,transactions_bronze_09,col_13,date
raw,transactions_bronze_09,col_14,string
raw,transactions_bronze_09,col_15,int
raw,transactions_bronze_09,col_16,double
raw,transactions_bronze_09,col_17,string
raw,transactions_bronze_10,sku,boolean
raw,transactions_bronze_10,country,timestamp
raw,transactions_bronze_10,country,double
raw,transactions_bronze_10,col_4,int
raw,transactions_bronze_10,col_5,timestamp
raw,transactions_bronze_10,col_6,date
raw,transactions_bronze_10,col_7,"decimal(10,2)"
raw,transactions_bronze_10,col_8,boolean
raw,transactions_bronze_10,col_9,int
raw,transactions_bronze_10,col_10,int
raw,transactions_bronze_10,col_11,double
raw,transactions_bronze_10,col_12,double
raw,transactions_bronze_10,col_13,"decimal(10,2)"
raw,transactions_bronze_11,amount,int
raw,transactions_bronze_11,dt,string
raw,transactions_bronze_11,amount,string
raw,transactions_bronze_11,col_4,timestamp
raw,transactions_bronze_11,col_5,timestamp
raw,transactions_bronze_11,col_6,"decimal(10,2)"
raw,transactions_bronze_11,col_7,timestamp
raw,transactions_bronze_11,col_8,string
raw,transactions_bronze_11,col_9,bigint
raw,transactions_bronze_11,col_10,string
raw,transactions_bronze_11,col_11,double
raw,transactions_bronze_11,col_12,double
raw,transactions_bronze_11,col_13,int
raw,transactions_bronze_11,col_14,boolean
raw,transactions_bronze_11,col_15,date
raw,transactions_bronze_12,customer_id,string
raw,transactions_bronze_12,customer_id,bigint
raw,transactions_bronze_12,customer_id,string
raw,transactions_bronze_12,col_4,string
raw,transactions_bronze_12,col_5,int
raw,transactions_bronze_12,col_6,timestamp
raw,transactions_bronze_12,col_7,"decimal(10,2)"
raw,transactions_bronze_12,col_8,bigint
raw,transactions_bronze_12,col_9,bigint
raw,transactions_bronze_12,col_10,timestamp
raw,transactions_bronze_12,col_11,boolean
raw,transactions_bronze_12,col_12,double
raw,transactions_bronze_12,col_13,date
raw,transactions_bronze_12,col_14,int
raw,transactions_bronze_12,col_15,string
raw,transactions_bronze_12,col_16,double
raw,transactions_bronze_13,status,double
raw,transactions_bronze_13,event_ts,double
raw,transactions_bronze_13,customer_id,bigint
raw,transactions_bronze_13,col_4,date
raw,transactions_bronze_13,col_5,double
raw,transactions_bronze_13,col_6,date
raw,transactions_bronze_13,col_7,double
raw,transactions_bronze_13,col_8,"decimal(10,2)"
raw,transactions_bronze_13,col_9,"decimal(10,2)"
raw,transactions_bronze_13,col_10,timestamp
raw,transactions_bronze_13,col_11,int
raw,transactions_bronze_13,col_12,boolean
raw,transactions_bronze_13,col_13,date
raw,transactions_bronze_13,col_14,"decimal(10,2)"
raw,transactions_bronze_13,col_15,timestamp
raw,transactions_bronze_13,col_16,"decimal(10,2)"
raw,transactions_bronze_13,col_17,date
raw,transactions_bronze_13,col_18,date
raw,transactions_bronze_14,order_id,double
raw,transactions_bronze_14,status,string
raw,transactions_bronze_14,sku,string
raw,transactions_bronze_14,col_4,double
raw,transactions_bronze_14,col_5,boolean
raw,transactions_bronze_14,col_6,boolean
raw,transactions_bronze_14,col_7,double
raw,transactions_bronze_14,col_8,int
raw,transactions_bronze_14,col_9,double
raw,transactions_bronze_14,col_10,"decimal(10,2)"
raw,transactions_bronze_14,col_11,int
raw,transactions_bronze_14,col_12,int
raw,transactions_bronze_14,col_13,date
raw,clicks_bronze_01,dt,string
raw,clicks_bronze_01,country,int
raw,clicks_bronze_01,amount,int
raw,clicks_bronze_01,col_4,double
raw,clicks_bronze_01,col_5,"decimal(10,2)"
raw,clicks_bronze_01,col_6,bigint
raw,clicks_bronze_01,col_7,boolean
raw,clicks_bronze_01,col_8,bigint
raw,clicks_bronze_01,col_9,bigint
raw,clicks_bronze_02,amount,double
raw,clicks_bronze_02,order_id,boolean
raw,clicks_bronze_02,sku,bigint
raw,clicks_bronze_02,col_4,date
raw,clicks_bronze_02,col_5,"decimal(10,2)"
raw,clicks_bronze_02,col_6,"decimal(10,2)"
raw,clicks_bronze_02,col_7,"decimal(10,2)"
raw,clicks_bronze_02,col_8,string
raw,clicks_bronze_02,col_9,string
raw,clicks_bronze_02,col_10,bigint
raw,clicks_bronze_02,col_11,boolean
raw,clicks_bronze_02,col_12,string
raw,clicks_bronze_02,col_13,"decimal(10,2)"
raw,clicks_bronze_02,col_14,"decimal(10,2)"
raw,clicks_bronze_02,col_15,bigint
raw,clicks_bronze_02,col_16,boolean
raw,clicks_bronze_02,col_17,timestamp
raw,clicks_bronze_03,event_ts,"decimal(10,2)"
raw,clicks_bronze_03,status,boolean
raw,clicks_bronze_03,event_ts,timestamp
raw,clicks_bronze_03,col_4,double
raw,clicks_bronze_03,col_5,int
raw,clicks_bronze_03,col_6,bigint
raw,clicks_bronze_03,col_7,bigint
raw,clicks_bronze_03,col_8,double
raw,clicks_bronze_04,amount,double
raw,clicks_bronze_04,sku,double
raw,clicks_bronze_04,status,boolean
raw,clicks_bronze_04,col_4,boolean
raw,clicks_bronze_04,col_5,"decimal(10,2)"
raw,clicks_bronze_04,col_6,bigint
raw,clicks_bronze_04,col_7,boolean
raw,clicks_bronze_04,col_8,double
raw,clicks_bronze_04,col_9,date
raw,clicks_bronze_04,col_10,boolean
raw,clicks_bronze_05,customer_id,date
raw,clicks_bronze_05,amount,string
raw,clicks_bronze_05,status,"decimal(10,2)"
raw,clicks_bronze_05,col_4,double
raw,clicks_bronze_05,col_5,"decimal(10,2)"
raw,clicks_bronze_05,col_6,date
raw,clicks_bronze_05,col_7,bigint
raw,clicks_bronze_05,col_8,string
raw,clicks_bronze_06,customer_id,boolean
raw,clicks_bronze_06,country,boolean
raw,clicks_bronze_06,sku,boolean
raw,clicks_bronze_06,col_4,double
raw,clicks_bronze_06,col_5,"decimal(10,2)"
raw,clicks_bronze_06,col_6,"decimal(10,2)"
raw,clicks_bronze_06,col_7,bigint
raw,clicks_bronze_06,col_8,string
raw,clicks_bronze_06,col_9,boolean
raw,clicks_bronze_06,col_10,bigint
raw,clicks_bronze_06,col_11,boolean
raw,clicks_bronze_06,col_12,double
raw,clicks_bronze_06,col_13,date
raw,clicks_bronze_06,col_14,date
raw,clicks_bronze_07,country,int
raw,clicks_bronze_07,country,double
raw,clicks_bronze_07,order_id,double
raw,clicks_bronze_07,col_4,"decimal(10,2)"
raw,clicks_bronze_07,col_5,date
raw,clicks_bronze_07,col_6,bigint
raw,clicks_bronze_07,col_7,"decimal(10,2)"
raw,clicks_bronze_07,col_8,"decimal(10,2)"
raw,clicks_bronze_07,col_9,"decimal(10,2)"
raw,clicks_bronze_07,col_10,date
raw,clicks_bronze_07,col_11,boolean
raw,clicks_bronze_08,sku,double
raw,clicks_bronze_08,sku,double
raw,clicks_bronze_08,event_ts,date
raw,clicks_bronze_08,col_4,bigint
raw,clicks_bronze_08,col_5,timestamp
raw,clicks_bronze_08,col_6,timestamp
raw,clicks_bronze_08,col_7,date
raw,clicks_bronze_08,col_8,double
raw,clicks_bronze_08,col_9,date
raw,clicks_bronze_08,col_10,date
raw,clicks_bronze_08,col_11,double
raw,clicks_bronze_08,col_12,string
raw,clicks_bronze_08,col_13,double
raw,clicks_bronze_08,col_14,string
raw,clicks_bronze_08,col_15,double
raw,clicks_bronze_08,col_16,bigint
raw,clicks_bronze_08,col_17,boolean
raw,clicks_bronze_08,col_18,timestamp
raw,clicks_bronze_09,dt,timestamp
raw,clicks_bronze_09,order_id,string
raw,clicks_bronze_09,status,timestamp
raw,clicks_bronze_09,col_4,double
raw,clicks_bronze_09,col_5,string
raw,clicks_bronze_09,col_6,double
raw,clicks_bronze_09,col_7,bigint
raw,clicks_bronze_09,col_8,double
raw,clicks_bronze_09,col_9,timestamp
raw,clicks_bronze_09,col_10,int
raw,clicks_bronze_09,col_11,timestamp
raw,clicks_bronze_09,col_12,double
raw,clicks_bronze_09,col_13,bigint
raw,clicks_bronze_09,col_14,"decimal(10,2)"
raw,clicks_bronze_10,customer_id,string
raw,clicks_bronze_10,dt,"decimal(10,2)"
raw,clicks_bronze_10,country,int
raw,clicks_bronze_10,col_4,boolean
raw,clicks_bronze_10,col_5,double
raw,clicks_bronze_10,col_6,date
raw,clicks_bronze_10,col_7,date
raw,clicks_bronze_10,col_8,date
raw,clicks_bronze_10,col_9,bigint
raw,clicks_bronze_10,col_10,boolean
raw,clicks_bronze_10,col_11,timestamp
raw,clicks_bronze_11,customer_id,bigint
